survived,sex,fare,sibsp,embarked,sex,embarked,class,who,adult_male,deck,embark_town,alive,alone
0.0,0.0,0.014151057562208046,1.0,0.0,0.0,0.0,Third,man,True,0.0,Southampton,no,False
1.0,1.0,0.02821271947802312,1.0,1.0,1.0,1.0,First,woman,False,0.0,Cherbourg,yes,False
1.0,1.0,0.015468569817999838,0.0,0.0,1.0,0.0,Third,woman,False,0.0,Southampton,yes,True
1.0,1.0,0.02821271947802312,1.0,0.0,1.0,0.0,First,woman,False,0.0,Southampton,yes,False
0.0,0.0,0.01571255356907239,0.0,0.0,0.0,0.0,Third,man,True,0.0,Southampton,no,True
0.0,0.0,0.016509502093575778,0.0,2.0,0.0,2.0,Third,man,True,0.0,Queenstown,no,True
0.0,0.0,0.02821271947802312,0.0,0.0,0.0,0.0,First,man,True,0.0,Southampton,no,True
0.0,0.0,0.04113566043083237,0.0,0.0,0.0,0.0,Third,child,False,0.0,Southampton,no,False
1.0,1.0,0.021730754366528396,0.0,0.0,1.0,0.0,Third,woman,False,0.0,Southampton,yes,False
1.0,1.0,0.058694292654020104,1.0,1.0,1.0,1.0,Second,child,False,0.0,Cherbourg,yes,False
1.0,1.0,0.03259622914329302,1.0,0.0,1.0,0.0,Third,child,False,0.0,Southampton,yes,False
1.0,1.0,0.05182214872781017,0.0,0.0,1.0,0.0,First,woman,False,0.0,Southampton,yes,True
0.0,0.0,0.01571255356907239,0.0,0.0,0.0,0.0,Third,man,True,0.0,Southampton,no,True
0.0,0.0,0.061044734518352656,1.0,0.0,0.0,0.0,Third,man,True,0.0,Southampton,no,False
0.0,1.0,0.015330377421392337,0.0,0.0,1.0,0.0,Third,child,False,0.0,Southampton,no,True
1.0,1.0,0.03122992013728673,0.0,0.0,1.0,0.0,Second,woman,False,0.0,Southampton,yes,True
0.0,0.0,0.05684821399990475,0.0,2.0,0.0,2.0,Third,child,False,0.0,Queenstown,no,False
1.0,0.0,0.025374310111545468,0.0,0.0,0.0,0.0,Second,man,True,0.0,Southampton,yes,True
0.0,1.0,0.03513366015444757,1.0,0.0,1.0,0.0,Third,woman,False,0.0,Southampton,no,False
1.0,1.0,0.014102260811993545,0.0,1.0,1.0,1.0,Third,woman,False,0.0,Cherbourg,yes,True
0.0,0.0,0.050748620223090936,0.0,0.0,0.0,0.0,Second,man,True,0.0,Southampton,no,True
1.0,0.0,0.025374310111545468,0.0,0.0,0.0,0.0,Second,man,True,0.0,Southampton,yes,True
1.0,1.0,0.015671954672893913,0.0,2.0,1.0,2.0,Third,child,False,0.0,Queenstown,yes,True
1.0,0.0,0.06929138530460494,0.0,0.0,0.0,0.0,First,man,True,0.0,Southampton,yes,True
0.0,1.0,0.04113566043083237,0.0,0.0,1.0,0.0,Third,child,False,0.0,Southampton,no,False
1.0,1.0,0.06126431989431795,1.0,0.0,1.0,0.0,Third,woman,False,0.0,Southampton,yes,False
0.0,0.0,0.014102260811993545,0.0,1.0,0.0,1.0,Third,man,True,0.0,Cherbourg,no,True
0.0,0.0,0.02821271947802312,0.0,0.0,0.0,0.0,First,man,True,0.0,Southampton,no,False
1.0,1.0,0.015379174171606854,0.0,2.0,1.0,2.0,Third,woman,False,0.0,Queenstown,yes,True
0.0,0.0,0.015411575213749288,0.0,0.0,0.0,0.0,Third,man,True,0.0,Southampton,no,True
0.0,0.0,0.05410739813385612,0.0,1.0,0.0,1.0,First,man,True,0.0,Cherbourg,no,True
1.0,1.0,0.02821271947802312,1.0,1.0,1.0,1.0,First,woman,False,0.0,Cherbourg,yes,False
1.0,1.0,0.015126992566498262,0.0,2.0,1.0,2.0,Third,woman,False,0.0,Queenstown,yes,True
0.0,0.0,0.020494635090094415,0.0,0.0,0.0,0.0,Second,man,True,0.0,Southampton,no,True
0.0,0.0,0.02821271947802312,1.0,1.0,0.0,1.0,First,man,True,0.0,Cherbourg,no,False
0.0,0.0,0.02821271947802312,1.0,0.0,0.0,0.0,First,man,True,0.0,Southampton,no,False
1.0,0.0,0.014110458666029578,0.0,1.0,0.0,1.0,Third,man,True,0.0,Cherbourg,yes,True
0.0,0.0,0.01571255356907239,0.0,0.0,0.0,0.0,Third,man,True,0.0,Southampton,no,True
0.0,1.0,0.03513366015444757,2.0,0.0,1.0,0.0,Third,woman,False,0.0,Southampton,no,False
1.0,1.0,0.02194233707545852,1.0,1.0,1.0,1.0,Third,child,False,0.0,Cherbourg,yes,False
0.0,1.0,0.018493968331299487,1.0,0.0,1.0,0.0,Third,woman,False,0.0,Southampton,no,False
0.0,1.0,0.04098927018018883,1.0,0.0,1.0,0.0,Second,woman,False,0.0,Southampton,no,False
0.0,0.0,0.015411575213749288,0.0,1.0,0.0,1.0,Third,man,True,0.0,Cherbourg,no,True
1.0,1.0,0.08115719346076702,1.0,1.0,1.0,1.0,Second,child,False,0.0,Cherbourg,yes,False
1.0,1.0,0.015379174171606854,0.0,2.0,1.0,2.0,Third,woman,False,0.0,Queenstown,yes,True
0.0,0.0,0.01571255356907239,0.0,0.0,0.0,0.0,Third,man,True,0.0,Southampton,no,True
0.0,0.0,0.030253985132996517,1.0,2.0,0.0,2.0,Third,man,True,0.0,Queenstown,no,False
1.0,1.0,0.015126992566498262,0.0,2.0,1.0,2.0,Third,woman,False,0.0,Queenstown,yes,True
0.0,0.0,0.04231498029001666,2.0,1.0,0.0,1.0,Third,man,True,0.0,Cherbourg,no,False
0.0,1.0,0.03474328615273149,1.0,0.0,1.0,0.0,Third,woman,False,0.0,Southampton,no,False
0.0,0.0,0.07746484096553544,0.0,0.0,0.0,0.0,Third,child,False,0.0,Southampton,no,False
0.0,0.0,0.015224586066927285,0.0,0.0,0.0,0.0,Third,man,True,0.0,Southampton,no,True
1.0,1.0,0.02821271947802312,1.0,1.0,1.0,1.0,First,woman,False,0.0,Cherbourg,yes,False
1.0,1.0,0.050748620223090936,1.0,0.0,1.0,0.0,Second,woman,False,0.0,Southampton,yes,False
0.0,0.0,0.02821271947802312,0.0,1.0,0.0,1.0,First,man,True,0.0,Cherbourg,no,False
